gate_label,threshold,split,bucket,total_rows,enabled_rows,disabled_rows,enabled_ratio_pct
g35,0.35,train_visible,rare_name,713,493,220,69.1445
g35,0.35,train_visible,measure,3729,3163,566,84.8217
g35,0.35,train_visible,formula,2843,2406,437,84.6289
g35,0.35,train_visible,marker_rich,3768,3191,577,84.6868
g35,0.35,val_visible,rare_name,1156,615,541,53.2007
g35,0.35,val_visible,measure,1101,602,499,54.6776
g35,0.35,val_visible,formula,887,476,411,53.664
g35,0.35,val_visible,marker_rich,1145,621,524,54.2358
g50,0.5,train_visible,rare_name,713,281,432,39.4109
g50,0.5,train_visible,measure,3729,2549,1180,68.3561
g50,0.5,train_visible,formula,2843,1966,877,69.1523
g50,0.5,train_visible,marker_rich,3768,2578,1190,68.4183
g50,0.5,val_visible,rare_name,1156,176,980,15.2249
g50,0.5,val_visible,measure,1101,181,920,16.4396
g50,0.5,val_visible,formula,887,156,731,17.5874
g50,0.5,val_visible,marker_rich,1145,191,954,16.6812
g65,0.65,train_visible,rare_name,713,230,483,32.2581
g65,0.65,train_visible,measure,3729,2357,1372,63.2073
g65,0.65,train_visible,formula,2843,1812,1031,63.7355
g65,0.65,train_visible,marker_rich,3768,2379,1389,63.1369
g65,0.65,val_visible,rare_name,1156,59,1097,5.1038
g65,0.65,val_visible,measure,1101,63,1038,5.7221
g65,0.65,val_visible,formula,887,62,825,6.9899
g65,0.65,val_visible,marker_rich,1145,63,1082,5.5022
